--- SYNC PROFILE STARTED AT 2026-08-14 15:03:10.061509 ---
Active Regions (18): ['ap-south-2', 'ap-south-1', 'eu-north-1', 'eu-west-3', 'eu-west-2', 'eu-west-1', 'ap-northeast-3', 'ap-northeast-2', 'ap-northeast-1', 'ca-central-1', 'sa-east-1', 'ap-southeast-1', 'ap-southeast-2', 'eu-central-1', 'us-east-1', 'us-east-2', 'us-west-1', 'us-west-2']
Phase 1: Region Discovery Complete.
Phase 2: Submitting 187 tasks to executor...
[SUCCESS] redshift in ap-southeast-1: 4.26 seconds (Found: 0)
[SUCCESS] apprunner in ap-south-1: 5.23 seconds (Found: 0)
[SUCCESS] redshift in ap-northeast-2: 5.55 seconds (Found: 0)
[SUCCESS] docdb in ap-northeast-2: 5.57 seconds (Found: 0)
[SUCCESS] apprunner in eu-west-1: 5.62 seconds (Found: 0)
[SUCCESS] docdb in eu-central-1: 5.72 seconds (Found: 0)
[SUCCESS] redshift in us-west-2: 5.87 seconds (Found: 0)
[SUCCESS] elasticbeanstalk in ap-southeast-2: 6.13 seconds (Found: 0)
[SUCCESS] ecs in ap-southeast-1: 7.76 seconds (Found: 0)
[SUCCESS] eks in eu-central-1: 8.19 seconds (Found: 0)
[SUCCESS] ecs in ap-southeast-2: 8.24 seconds (Found: 0)
[SUCCESS] eks in ap-southeast-2: 8.32 seconds (Found: 0)
[SUCCESS] rds in ap-northeast-3: 8.40 seconds (Found: 0)
[SUCCESS] ecs in eu-central-1: 8.48 seconds (Found: 0)
[SUCCESS] workspaces in us-west-2: 8.65 seconds (Found: 0)
[SUCCESS] sagemaker in eu-north-1: 8.81 seconds (Found: 0)
[SUCCESS] workspaces in us-east-2: 8.82 seconds (Found: 0)
[SUCCESS] redshift in eu-west-3: 13.51 seconds (Found: 0)
[SUCCESS] redshift in ap-northeast-3: 13.70 seconds (Found: 0)
[SUCCESS] ec2 in eu-west-1: 13.89 seconds (Found: 0)
[SUCCESS] rds in ap-southeast-2: 14.04 seconds (Found: 0)
[SUCCESS] sagemaker in us-east-1: 14.37 seconds (Found: 0)
[SUCCESS] sagemaker in sa-east-1: 14.73 seconds (Found: 0)
[SUCCESS] ec2 in sa-east-1: 15.24 seconds (Found: 0)
[SUCCESS] docdb in ap-northeast-3: 15.82 seconds (Found: 0)
[SUCCESS] sagemaker in ap-southeast-1: 16.53 seconds (Found: 0)
[SUCCESS] ec2 in eu-west-2: 16.62 seconds (Found: 0)
[SUCCESS] rds in ap-northeast-1: 17.00 seconds (Found: 0)
[SUCCESS] rds in eu-central-1: 17.02 seconds (Found: 0)
[SUCCESS] docdb in us-west-2: 17.17 seconds (Found: 0)
[SUCCESS] sagemaker in ca-central-1: 17.62 seconds (Found: 0)
[SUCCESS] docdb in sa-east-1: 17.77 seconds (Found: 0)
